scientific_name,authority,category
Hampea montebellensis,Fryx.,EN
Robinsonella mirandae,Gomez-Pompa,EN
Cedrela oaxacensis,C.DC. &amp; Rose,EN
Eugenia mexicana,Steudel,VU
Saurauia pustulata,G.E.Hunter,LR/lc
Saurauia serrata,DC.,EN
Clermontia peleana,Rock,CR
Clermontia tuberculata,C.N.Forbes,EN
Cyanea procera,Hillebr.,CR
Dubautia arborea,(A.Gray) D.D.Keck,EN
Charpentiera densiflora,Sohmer,CR
Cheirodendron forbesii,(Sherff) Lowry,EN
Hibiscadelphus bombycinus,C.N.Forbes,EX
Kokia lanceolata,Lewton,EX
Eugenia koolauensis,O.Deg.,CR
Pittosporum napaliense,Sherff,CR
Bobea sandwicensis,(A.Gray) Hillebr.,VU
Exocarpos gaudichaudii,A.DC.,EN
Nothocestrum breviflorum,A.Gray,CR
Eurya sandwicensis,Gray,VU
Hibiscadelphus hualalaiensis,Rock,CR
Wikstroemia bicornuta,Hbd.,EN
Cullenia rosayroana,Kosterm.,LR/cd
Garcinia quaesita,Pierre,VU
Garcinia zeylanica,Roxb.,EN
Garcinia hermonii,Kosterm.,LR/cd
Garcinia thwaitesii,Pierre,EN
Calophyllum tomentosum,Wight,VU
Calophyllum trapezifolium,Thwaites,EN
Calophyllum cuneifolium,Thwaites,CR
Calophyllum walkeri,Wight,VU
Calophyllum thwaitesii,Planch. &amp; Triana,VU
Calophyllum cordato-oblongum,Thwaites,VU
Mesua stylosa,(Thwaites) Kosterm.,CR
Cotylelobium lewisianum,(Trimen ex Hook.f.) P.S.Ashton,CR
Cotylelobium scabriusculum,(Thwaites) Brandis,CR
Dipterocarpus glandulosus,Thwaites,CR
Dipterocarpus hispidus,Thwaites,CR
Dipterocarpus insignis,Thwaites,CR
Dipterocarpus zeylanicus,Thwaites,EN
Hopea cordifolia,(Thwaites) Trimen,EN
Hopea discolor,Thwaites,EN
Shorea dyeri,Thwaites ex Trimen,EN
Shorea lissophylla,Thwaites,CR
Shorea oblongifolia,Thwaites,CR
Shorea pallescens,P.S.Ashton,CR
Shorea stipularis,Thwaites,CR
Shorea affinis,(Thwaites) P.S.Ashton,EN
Shorea congestiflora,(Thwaites) P.S.Ashton,CR
Shorea cordifolia,(Thwaites) P.S.Ashton,CR
Shorea disticha,(Thwaites) P.S.Ashton,EN
Shorea gardneri,(Thwaites) P.S.Ashton,CR
Shorea megistophylla,P.S.Ashton,CR
Shorea ovalifolia,(Thwaites) P.S.Ashton,CR
Shorea trapezifolia,(Thwaites) P.S.Ashton,CR
Shorea worthingtonii,P.S.Ashton,EN
Shorea zeylanica,(Thwaites) P.S.Ashton,CR
Stemonoporus acuminatus,(Thwaites) Bedd.,EN
Stemonoporus affinis,Thwaites,CR
Stemonoporus cordifolius,(Thwaites) Alston,EN
Stemonoporus elegans,(Thwaites) Alston,CR
Stemonoporus gardneri,Thwaites,EN
Stemonoporus lanceolatus,Thwaites,CR
Stemonoporus lancifolius,(Thwaites) P.S.Ashton,CR
Stemonoporus nitidus,Thwaites,CR
Stemonoporus petiolaris,Thwaites,CR
Stemonoporus reticulatus,Thwaites,EN
Stemonoporus revolutus,Trimen ex Hook.f.,EN
Stemonoporus rigidus,Thwaites,EN
Vateria copallifera,(Retz.) Alston,EN
Vatica affinis,Thwaites,CR
Vatica obscura,Trimen,EN
Adenanthera bicolor,Moon,VU
Abarema bigemina,(L.) Kosterm.,VU
Symplocos breedlovei,Lundell,EN
Symplocos coccinea,Bonpl.,NT
Symplocos longipes,Lundell,EN
Guaiacum coulteri,Gray,VU
Diospyros acuminata,(Thwaites) Kosterm.,VU
Diospyros chaetocarpa,Kosterm.,VU
Diospyros rheophytica,Kosterm.,CR
Diospyros ebenoides,Kosterm.,EN
Diospyros quaesita,Thwaites,VU
Diospyros albiflora,Alston,VU
Diospyros atrata,(Thwaites) Alston,VU
Diospyros trichophylla,Alston,VU
Diospyros attenuata,Thwaites,EN
Diospyros acuta,Thwaites,EN
Diospyros walkeri,(Wight) Gürke,VU
Diospyros hirsuta,L.f.,VU
Diospyros moonii,Thwaites,CR
Diospyros oppositifolia,Thwaites,EN
Diospyros thwaitesii,(Hiern) Bedd.,VU
Diospyros crumenata,Thwaites,EN
Artocarpus nobilis,Thwaites,VU
Prunus walkeri,(Wight) Kalkman,VU
Symplocos cordifolia,Thwaites,VU
Symplocos bractealis,Thwaites,VU
Eugenia glabra,Alston,EN
Eugenia amoena,Thwaites,VU
Eugenia rotundata,Trimen,VU
Eugenia terpnophylla,Thwaites,EN
Eugenia rufo-fulva,Thwaites,VU
Eugenia rivulorum,Thwaites,VU
Eugenia fulva,Thwaites,VU
Syzygium turbinatum,Alston,EN
Syzygium firmum,Thwaites,VU
Syzygium rotundifolium,Arn.,VU
Syzygium oliganthum,Thwaites,VU
Syzygium spathulatum,Thwaites,EN
Syzygium umbrosum,Thwaites,EN
Syzygium makul,Gaertn.,VU
Syzygium micranthum,Thwaites,VU
Carallia calycina,Benth.,VU
Anisophyllea cinnamomoides,(Gardner &amp; Champ.) Alston,VU
Hopea brevipetiolaris,(Thwaites ex Trimen) P.S.Ashton,CR
Stemonoporus canaliculatus,Thwaites,CR
Calophyllum bracteatum,Thwaites,VU
Syzygium neesianum,Arn.,VU
Euphorbia noxia,Pax,VU
Euphorbia tanaensis,P.R.O.Bally &amp; S.Carter,CR
Euphorbia lividiflora,L.C.Leach,LC
Euphorbia cussonioides,Bally,CR
Aloe ballyi,Reynolds,EN
Acacia koaia,Hillebr.,VU
Stenostomum portoricense,Britton &amp; P.Wilson,VU
Bobea timonioides,(Hook.f.) Hillebr.,EN
Brunfelsia portoricensis,Krug &amp; Urban,EN
Buxus vahlii,Baill.,EN
Byrsonima horneana,Britton &amp; Small,DD
Byrsonima ophiticola,Small ex Britton,DD
Callicarpa ampla,Schauer,CR
Myrcia luquillensis,(Alain) E.Lucas &amp; A.R.Lourenço,VU
Clermontia drepanomorpha,Rock,EN
Clermontia lindseyana,Rock,EN
Clermontia pyrularia,Hillebr.,CR
Colubrina oppositifolia,Brongn. ex H.Mann,CR
Varronia wagnerorum,(R.A.Howard) Borhidi,CR
